Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
dgoR	b4479	DNA-binding transcriptional regulator DgoR	negative regulation of DNA-templated transcription initiation // regulation of DNA-templated transcription	cytosol	metal ion binding // DNA-binding transcription factor activity // cis-regulatory region sequence-specific DNA binding // ligand-activated transcription factor activity // DNA-binding transcription repressor activity // transcription cis-regulatory region binding // identical protein binding // DNA binding	P31460	yidW // b3695 // b3694
dgoD	b4478	D-galactonate dehydratase	amino acid catabolic process // D-galactonate catabolic process	cytosol	magnesium ion binding // lyase activity // metal ion binding // galactonate dehydratase activity	Q6BF17	b3692 // yidU
dgoA	b4477	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	D-galactonate catabolic process	cytosol	lyase activity // 2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity	Q6BF16	b3692 // yidU
gntU	b4476	low-affinity gluconate transporter	organic substance transport // carbohydrate transmembrane transport // D-gluconate metabolic process // gluconate transmembrane transport	membrane // plasma membrane	carbohydrate:monoatomic cation symporter activity // gluconate transmembrane transporter activity	P0AC96	b3435 // b3436
rtcA	b4475	RNA 3'-terminal phosphate cyclase	RNA processing	cytoplasm // cytosol	ligase activity // catalytic activity // ATP binding // nucleotide binding // RNA-3'-phosphate cyclase activity	P46849	yhgJ // yhgK // b3420 // b3419
frlC	b4474	fructoselysine 3-epimerase	amino sugar catabolic process	cytosol	metal ion binding // isomerase activity // identical protein binding // racemase and epimerase activity, acting on carbohydrates and derivatives	P45541	b3373 // yhfP // yhfO // b3372
smf	b4473	protein Smf	DNA-mediated transformation	cytosol		P30852	b3286 // b3285 // smf1 // smf2
yhdP	b4472	phospholipid transport factor YhdP	phospholipid transport	plasma membrane		P46474	b3246 // yhdR // yhdQ // b3245
tdcG	b4471	L-serine deaminase III	L-threonine catabolic process to propionate // gluconeogenesis // amino acid catabolic process	cytosol	lyase activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // L-serine ammonia-lyase activity	P42630	b3111 // yhaQ // b3112 // tdcGa // yhaP // sdhY
cyuA	b4470	L-cysteine desulfidase	L-cysteine catabolic process to pyruvate // cysteine catabolic process // response to L-cysteine	cytosol	L-cysteine desulfhydrase activity	P42626	b3109 // yhaN // b3108 // yhaM
ygiQ	b4469	radical SAM superfamily protein YgiQ		cytosol	iron ion binding // catalytic activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding	Q46861	ygiR // b3016 // b3015
glcE	b4468	glycolate dehydrogenase, putative FAD-binding subunit	lactate catabolic process // glycolate catabolic process	membrane // plasma membrane	D-lactate dehydrogenase (cytochrome) activity // D-lactate dehydrogenase activity // D-2-hydroxy-acid dehydrogenase activity // FAD binding // flavin adenine dinucleotide binding // oxidoreductase activity // catalytic activity // glycolate dehydrogenase activity	P52073	yghL // gox // b2978
glcF	b4467	glycolate dehydrogenase, putative iron-sulfur subunit	glycolate catabolic process	membrane // cytosol // plasma membrane	D-2-hydroxy-acid dehydrogenase activity // oxidoreductase activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // glycolate dehydrogenase activity	P52074	gox // yghL // b2978
yghJ	b4466	putative lipoprotein YghJ	positive regulation of protein targeting to membrane	plasma membrane // membrane	transmembrane transporter binding	P0CK95	b2974 // b2973 // sslE
yggP	b4465	putative zinc-binding dehydrogenase YggP		cytosol	oxidoreductase activity	P52048	b2931 // b2932
ghxQ	b4464	guanine/hypoxanthine transporter GhxQ	purine nucleobase transmembrane transport // transmembrane transport // guanine import across plasma membrane // hypoxanthine transport	plasma membrane // membrane	nucleobase transmembrane transporter activity // transmembrane transporter activity // guanine transmembrane transporter activity	Q46817	b2885 // ygfR // b2884 // ygfQ
ygcU	b4463	putative FAD-containing dehydrogenase	lipid biosynthetic process // lactate catabolic process	cytosol	alkylglycerone-phosphate synthase activity // D-lactate dehydrogenase (cytochrome) activity // D-lactate dehydrogenase activity // FAD binding // flavin adenine dinucleotide binding // catalytic activity // oxidoreductase activity	Q46911	ygcT // b2772 // ygcV // b2773
ygaQ	b4462	putative uncharacterized protein YgaQ	carbohydrate metabolic process	extracellular space	cation binding // catalytic activity // alpha-amylase activity	P76616	G7393 // yqaD // G7392 // G7391 // ygaR // b2656 // b2655 // yqaC // b2654 // b2657 // b2658
yfjD	b4461	UPF0053 family inner membrane protein YfjD		membrane // plasma membrane	flavin adenine dinucleotide binding	P37908	b2612 // ypjE // b2613
araH	b4460	arabinose ABC transporter membrane subunit	organic substance transport // L-arabinose transmembrane transport // transmembrane transport // arabinose transmembrane transport	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	transmembrane transporter activity // L-arabinose transmembrane transporter activity	P0AE26	b1898 // b1899
ryjA	b4459	small RNA RyjA					psrA24 // sraL
oxyS	b4458	small regulatory RNA OxyS	negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing // response to oxidative stress	bacterial nucleoid // cytoplasm	protein binding // mRNA 5'-UTR binding // mRNA binding		
csrC	b4457	small regulatory RNA CsrC	negative regulation of mRNA binding // positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility		protein binding		sraK // psrA21 // ryiB // tpk2 // IS198
glmZ	b4456	small regulatory RNA GlmZ	positive regulation of translation, ncRNA-mediated // positive regulation of translational initiation		protein binding // mRNA 5'-UTR binding		psrA20 // sraJ // k19 // ryiA
hokA	b4455	small toxic polypeptide		outer membrane-bounded periplasmic space // plasma membrane // membrane		P37305	yiaZ
rdlD	b4454	antisense regulatory RNA RdlD	negative regulation of cytoplasmic translation		translation repressor activity		
ldrD	b4453	small toxic polypeptide LdrD		membrane // plasma membrane		Q6BF25	
gadY	b4452	small regulatory RNA GadY	cellular response to acidic pH // negative regulation of bacterial-type flagellum-dependent cell motility // regulation of gene expression		protein binding		IS183
ryhB	b4451	small regulatory RNA RyhB	negative regulation of bacterial-type flagellum-dependent cell motility // positive regulation of translation, ncRNA-mediated // sRNA-mediated post-transcriptional gene silencing	bacterial nucleoid // cytosol	protein binding // mRNA binding		psrA18 // IS176 // sraI
arcZ	b4450	small regulatory RNA ArcZ	ncRNA catabolic process // negative regulation of single-species biofilm formation // negative regulation of cell motility // cellular response to acidic pH // positive regulation of translational initiation		regulatory RNA binding // transcription antitermination factor activity, RNA binding // mRNA 5'-UTR binding // protein binding		psrA16 // sraH // ryhA
sraG	b4449	small regulatory RNA SraG	regulatory ncRNA-mediated post-transcriptional gene silencing		mRNA 5'-UTR binding // mRNA binding		psrA15 // p3 // psrO
sraF	b4448						psrA14 // tpk1 // IS160 // psrN
sibD	b4447	small RNA SibD	regulatory ncRNA-mediated post-transcriptional gene silencing				tp8 // C0730 // IS156 // QUAD1d // rygD
sibC	b4446	small regulatory RNA antitoxin SibC	regulatory ncRNA-mediated post-transcriptional gene silencing				QUAD1c // t27 // rygC
omrB	b4445	small regulatory RNA OmrB	sRNA-mediated post-transcriptional gene silencing		protein binding // mRNA binding		PAIR2b // t59 // rygB
omrA	b4444	small regulatory RNA OmrA	negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding		psrA12 // rygA // PAIR2a // t59 // sraE
gcvB	b4443	small regulatory RNA GcvB	mRNA stabilization // positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		mRNA binding		psrA11 // IS145
micA	b4442	small regulatory RNA MicA	regulation of bacterial-type flagellum-dependent cell motility // response to stress // sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding		sraD // psrA10
glmY	b4441	small regulatory RNA GlmY	negative regulation of bacterial-type flagellum-dependent cell motility // cellular response to cell envelope stress // negative regulation of biological process		mRNA binding // protein binding		tke1 // sroF
ryfA	b4440	small regulatory RNA RyfA	negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility		protein binding		PAIR3b // tp1
micF	b4439	small regulatory RNA MicF	sRNA-mediated post-transcriptional gene silencing // response to oxidative stress // cellular response to heat // cellular hyperosmotic response // response to xenobiotic stimulus		mRNA regulatory element binding translation repressor activity // protein binding // mRNA 5'-UTR binding // mRNA binding		stc
cyaR	b4438	small regulatory RNA CyaR	regulatory ncRNA-mediated post-transcriptional gene silencing		regulatory RNA binding // mRNA binding // mRNA 5'-UTR binding // protein binding		ryeE
sibB	b4437	small RNA SibB	regulatory ncRNA-mediated post-transcriptional gene silencing				QUAD1b // tpe60 // ryeD
sibA	b4436	small RNA SibA					QUAD1a // tp11 // ryeC
isrC	b4435	CP4-44 prophage; small RNA IsrC					IS102
sdsR	b4433	small regulatory RNA SdsR	sRNA-mediated post-transcriptional gene silencing // mRNA destabilization // negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility		mRNA 5'-UTR binding // protein binding		tkpe79 // ryeB
ryeA	b4432	small antisense RNA RyeA					sraC // psrA8 // tkpe79 // IS091
rprA	b4431	small regulatory RNA RprA	negative regulation of bacterial-type flagellum-dependent cell motility // stress response to acid chemical // sRNA-mediated post-transcriptional gene silencing // positive regulation of translation, ncRNA-mediated		transcription antitermination factor activity, RNA binding // protein binding // mRNA binding // mRNA 5'-UTR binding		psrA5 // IS083
rydB	b4430	small regulatory RNA RydB					tpe7 // IS082
sokB	b4429	putative small regulatory RNA antitoxin SokB					
hokB	b4428	toxin HokB	dormancy process	plasma membrane // membrane		P77494	ydcB
micC	b4427	small regulatory RNA MicC	negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing // negative regulation of translational initiation		mRNA 5'-UTR binding		IS063 // tke8
mcaS	b4426	small regulatory RNA McaS	regulatory ncRNA-mediated post-transcriptional gene silencing // regulation of bacterial-type flagellum-dependent cell motility // negative regulation of single-species biofilm formation // negative regulation of binding // positive regulation of translational initiation // negative regulation of translational initiation		bacterial-type RNA polymerase core enzyme binding // mRNA 5'-UTR binding // protein binding		IS061 // isrA
rttR	b4425	small RNA RttR					rtT
rdlC	b4424	putative antisense regulatory RNA RdlC	negative regulation of bacterial-type flagellum-dependent cell motility				
ldrC	b4423	small toxic polypeptide LdrC	programmed cell death	membrane // plasma membrane		P0DPD1	
rdlB	b4422	putative antisense regulatory RNA RdlB	negative regulation of bacterial-type flagellum-dependent cell motility				
ldrB	b4421	small toxic polypeptide LdrB	programmed cell death	membrane // plasma membrane		Q6BF87	
rdlA	b4420	putative antisense regulatory RNA RdlA					
ldrA	b4419	small toxic polypeptide LdrA	programmed cell death	membrane // plasma membrane		P0DPD0	
sraB	b4418	small RNA SraB			protein binding		psrA4 // pke20 // psrD
rybB	b4417	small regulatory RNA RybB	regulatory ncRNA-mediated post-transcriptional gene silencing // negative regulation of single-species biofilm formation // response to stress // regulation of mRNA stability		regulatory RNA binding // mRNA 5'-UTR binding // mRNA binding // protein binding		p25
rybA	b4416	small RNA RybA	response to hydrogen peroxide				
hokE	b4415	protein HokE	DNA damage response	outer membrane-bounded periplasmic space // plasma membrane // membrane		P77091	ybdY
tff	b4414	putative small RNA T44					t44
sokC	b4413	small regulatory RNA antitoxin SokC	regulatory ncRNA-mediated post-transcriptional gene silencing				sof
hokC	b4412	protein HokC		membrane // periplasmic space // plasma membrane		P0ACG4	gef
ecnB	b4411	bacteriolytic entericidin B lipoprotein	response to toxic substance	plasma membrane // membrane		P0ADB7	yjeU
ecnA	b4410	entericidin A lipoprotein, antidote to entericidin B	response to toxic substance	plasma membrane // membrane		P0ADB4	
blr	b4409	&beta;-lactam resistance protein	cell division // cell cycle // cellular response to cell envelope stress // cellular response to stress // response to antibiotic	membrane // plasma membrane // division septum	protein binding	P56976	
csrB	b4408	small regulatory RNA CsrB	negative regulation of mRNA binding // positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility		protein binding		
thiS	b4407	sulfur carrier protein ThiS	thiamine diphosphate biosynthetic process // thiamine biosynthetic process // thiazole biosynthetic process	adenylyltransferase complex // sulfurtransferase complex	nucleotide binding // sulfur carrier activity	O32583	thiG1
yaeP	b4406	PF06786 family protein YaeP		cytosol		P0A8K5	
yjtD	b4403	putative tRNA/rRNA methyltransferase YjtD	tRNA nucleoside ribose methylation // RNA processing // methylation	cytosol	protein homodimerization activity // tRNA (uracil-2'-O-)-methyltransferase activity // RNA methyltransferase activity // RNA binding // transferase activity // methyltransferase activity	P37005	lasT
yjjY	b4402	uncharacterized protein YjjY		membrane		P0ADD9	
arcA	b4401	DNA-binding transcriptional dual regulator ArcA-phosphorylated // DNA-binding transcriptional dual regulator ArcA	negative regulation of DNA-templated transcription // positive regulation of DNA-templated transcription // regulation of DNA-templated transcription // phosphorelay signal transduction system	protein-DNA complex // cytoplasm // cytosol	DNA-binding transcription repressor activity // transcription cis-regulatory region binding // identical protein binding // protein binding // DNA binding // DNA-binding transcription factor activity // phosphorelay response regulator activity	P0A9Q1	sfrA // cpxC // dye // fexA // msp // seg
creD	b4400	putative inner membrane protein CreD		membrane // plasma membrane		P08369	refII // cet
creC	b4399	sensory histidine kinase CreC	cellular response to stimulus // phosphorelay signal transduction system // signal transduction // phosphorylation // protein autophosphorylation // glycolytic fermentation // peptidyl-histidine phosphorylation	plasma membrane // membrane	transferase activity, transferring phosphorus-containing groups // transferase activity // kinase activity // protein histidine kinase activity // nucleotide binding // ATP binding // phosphorelay sensor kinase activity	P08401	phoM
creB	b4398	DNA-binding transcriptional regulator CreB-phosphorylated // DNA-binding transcriptional regulator CreB	regulation of DNA-templated transcription // phosphorelay signal transduction system // positive regulation of DNA-templated transcription	protein-DNA complex // cytoplasm // cytosol	transcription cis-regulatory region binding // phosphorelay response regulator activity // identical protein binding // DNA binding // cis-regulatory region sequence-specific DNA binding	P08368	yjjE // ORF2
